n	L	model	dist	prop_openm	k	m	clusters	open_minded_cl	time_steps	froozen	min_diff
1000000	6.7	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	7.80309150627545e-12
1000000	6.7	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	7.381517619364786e-11
1000000	6.7	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	1.922018100231071e-12
1000000	6.8	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	5.88862292261183e-12
1000000	6.8	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	1.327355586555612e-11
1000000	6.8	prop	unif	0.5	0.9	0.0	500001	1	40	FALSE	2.915934160796496e-11
1000000	6.8	prop	unif	0.6	0.9	0.0	400002	2	40	FALSE	9.369860443086964e-11
1000000	6.8	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	1.759321577310402e-10
1000000	6.9	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	2.6640023520485556e-11
1000000	6.9	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	4.943956355418777e-11
1000000	6.9	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	5.573941308512076e-11
1000000	6.9	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	2.5118573887539242e-11
1000000	6.9	prop	unif	0.7	0.9	0.0	300001	1	40	FALSE	1.0326406396643506e-11
1000000	7.0	prop	unif	0.3	0.9	0.0	700001	1	40	FALSE	1.2669865157022286e-11
1000000	7.0	prop	unif	0.4	0.9	0.0	600001	1	40	FALSE	4.843236922624783e-12
1000000	7.0	prop	unif	0.5	0.9	0.0	500002	2	40	FALSE	7.808864666003501e-12
1000000	7.0	prop	unif	0.6	0.9	0.0	400001	1	40	FALSE	3.8195224760784185e-11
1000000	7.0	prop	unif	0.7	0.9	0.0	300002	2	40	FALSE	2.184918912462308e-11
1000000	4.5	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	3.625544309215911e-12
1000000	4.5	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	1.2669865157022286e-11
1000000	4.5	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	8.983924715266767e-12
1000000	4.5	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	3.659694769453381e-11
1000000	4.5	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	6.370193261773238e-11
1000000	4.6	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	7.170264382239111e-12
1000000	4.6	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	1.660183102103474e-11
1000000	4.6	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	8.09874389773313e-12
1000000	4.6	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	1.8400392320927494e-11
1000000	4.6	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	2.0775395292993437e-12
1000000	4.7	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	3.6630698474482415e-12
1000000	4.7	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	1.361311063874382e-11
1000000	4.7	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	1.8391510536730493e-11
1000000	4.7	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	9.992007221626409e-12
1000000	4.7	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	4.809797005123073e-11
1000000	4.8	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.905697821769081e-12
1000000	4.8	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	7.601475005003522e-12
1000000	4.8	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	2.5197621766892553e-12
1000000	4.8	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	6.000108743187127e-11
1000000	4.8	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	5.820721682425756e-11
1000000	4.9	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	3.4368063950296346e-12
1000000	4.9	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	7.58459961502922e-12
1000000	4.9	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	3.557709682411314e-11
1000000	4.9	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	2.5073276788134535e-12
1000000	4.9	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	7.724065831382632e-11
1000000	5.0	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	3.270717030545711e-12
1000000	5.0	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	5.083489185153667e-12
1000000	5.0	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	4.908962125682592e-12
1000000	5.0	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	4.4513726038530876e-11
1000000	5.0	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	8.001821427683353e-11
1000000	5.1	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	6.8682837195410684e-12
1000000	5.1	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	4.065192626967473e-12
1000000	5.1	prop	unif	0.5	0.9	0.0	500001	1	80	FALSE	1.3367085216486885e-11
1000000	5.1	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	3.690248107091065e-11
1000000	5.1	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	1.0231371305735593e-10
1000000	5.2	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	4.3574477359697994e-11
1000000	5.2	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	5.824429827328004e-11
1000000	5.2	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	9.389822253069724e-12
1000000	5.2	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	7.752243291747618e-12
1000000	5.2	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	7.597016071780871e-11
1000000	5.3	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	5.284661597215745e-14
1000000	5.3	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	6.329159418783092e-11
1000000	5.3	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	3.161471084922596e-11
1000000	5.3	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	6.607603353359082e-11
1000000	5.3	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	2.5959845384448954e-11
1000000	5.4	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.053224174540901e-11
1000000	5.4	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	2.390665443385842e-11
1000000	5.4	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	2.255529096828468e-12
1000000	5.4	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	5.297895455669277e-11
1000000	5.4	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	4.6617487647893086e-11
1000000	5.5	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.3846479518520027e-11
1000000	5.5	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	6.399325513939402e-13
1000000	5.5	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	5.2522430848966906e-12
1000000	5.5	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	5.946221293129383e-11
1000000	5.5	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	2.858913106251748e-11
1000000	5.6	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	1.841304886340822e-11
1000000	5.6	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	6.914913086575325e-12
1000000	5.6	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	1.9799273331955192e-11
1000000	5.6	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	7.16363843245027e-11
1000000	5.6	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	5.800604441219548e-11
1000000	5.7	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	5.275779813018744e-12
1000000	5.7	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	1.9551915642068707e-11
1000000	5.7	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	3.2257307935879e-11
1000000	5.7	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	9.043099602479288e-12
1000000	5.7	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	4.551925503193388e-11
1000000	5.8	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.092104184863274e-11
1000000	5.8	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	7.752687380957468e-13
1000000	5.8	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	2.020428269133845e-11
1000000	5.8	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	3.681854821024899e-11
1000000	5.8	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	1.3866330306200325e-10
1000000	5.9	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	2.4087398742267396e-12
1000000	5.9	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	1.2783551994743902e-11
1000000	5.9	prop	unif	0.5	0.9	0.0	500002	2	80	FALSE	3.575806317712704e-11
1000000	5.9	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	1.7664869567113328e-11
1000000	5.9	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	1.1383249898244685e-10
1000000	6.0	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	7.0929928597252e-12
1000000	6.0	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	2.4361845873954735e-11
1000000	6.0	prop	unif	0.5	0.9	0.0	500001	1	80	FALSE	2.6258994978434202e-12
1000000	6.0	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	4.019984345404737e-11
