n,L,model,dist,prop_openm,clusters,open_minded_cl,time_steps,froozen,open_cl1,open_cl2,cl1,cl2
10000,9.0,prop,unif,0.5,5002,2,50,false,1.0331767425849832,7.890763063984146,3768,1232
10000,9.0,prop,unif,0.5,5002,2,50,false,1.0200454172232076,7.890794258967864,3756,1244
10000,9.0,prop,unif,0.5,5001,1,50,false,1.021789922987325,-1.0,5000,0
10000,9.0,prop,unif,0.5,5001,1,50,false,1.03851066099557,-1.0,5000,0
10000,9.0,prop,unif,0.5,5002,2,50,false,1.0079417400712625,7.928467054665149,3841,1159
